seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
1703,8,autoregressive_lead4,Pe,k6_7,30,35,0.08659560664841275,0.000284476034269376
1703,8,autoregressive_lead4,Pi,k6_7,30,35,0.08317730535329161,0.00013146377714578667
1703,8,autoregressive_lead4,phi,k6_7,30,35,0.14746620284653453,0.00033890463249989757
1703,8,autoregressive_lead4,Vi,k6_7,30,35,0.11238710475232817,1.9328949149868624e-05
1701,8,direct,Ne,k1_3,5,15,0.1848305208098818,0.0008279654705210411
1701,8,direct,Pe,k1_3,5,15,0.19928252032184954,0.004192306488616532
1701,8,direct,Pi,k1_3,5,15,0.15445779958888062,0.0015233066879095658
1701,8,direct,phi,k1_3,5,15,0.26454646701695533,0.0261558397954776
1701,8,direct,Vi,k1_3,5,15,0.15116172267781153,0.0065391044600198985
1701,8,direct,Ne,k4_5,20,25,0.12197071074419487,0.005839770450786427
